Pregunta,Respuesta,Postura,Valor numérico,Cita,Fuente,Enlace,Minuto
Asilo_politico_peligro,De acuerdo,Nacionalista,-1,"1. sostiene que el asilo no debe ser una ""coladera"" que permita a individuos procesados por delitos comunes o corrupción eludir sus responsabilidades",Entrevista o declaración pública,1. https://youtu.be/C__hkW7SJcI?si=8d9W62HVnNE7MmO8,1. min 39
TLC_beneficiosos,Muy de acuerdo,Globalista,2,"1. Perú permite tener tratados de libre comercio con muchísimos países del mundo, fomentando un mercado financiero profundo y sin restricciones para el ingreso o salida de capitales",Entrevista o declaración pública,1. https://www.youtube.com/live/g-4Nlp0YY5k?si=d7n2VXA75FPb_s4K,1. min 12
Restringir_empresas_extranjeras,En desacuerdo,Globalista,1,"1. mantiene una vision bastante amplia sobre fomentar la inversión extranjera, la ventaja del Perú en el comercio global, relacionado a los TCL*. ",Entrevista o declaración pública,1. https://www.youtube.com/live/g-4Nlp0YY5k?si=0bqFDAa8xmWZXL-K,
Nacionalidad_migrantes,Muy en desacuerdo,Nacionalista,-2,"""Todo venezolano que no tenga papeles en regla el 28 de julio que viene se larga a Venezuela, ya se va de vuelta""",Entrevista o declaración pública,1. https://youtube.com/shorts/5ijRXorPknI?si=mBjtOUwPD9-IphpF,
Ley_peruana_sobre_acuerdos,Muy de acuerdo,Nacionalista,-2,1. implicito: Retiro de la Corte IDH. El retiro del Perú de la Corte Interamericana de Derechos Humanos para recuperar nuestra soberanía jurídica.,Entrevista o declaración pública,https://www.youtube.com/watch?v=QlHubYY2Cew,1. min 9:20
Posición Nacionalista-Globalista,No se halló información,No se halló información,"-0,25",,,,
Mas_impuestos_ricos,En desacuerdo,Derecha,-1,1. Sugiere una amnistía para peruanos afectados por la gestión tributaria y alega persecución a empresarios por la Sunat,Entrevista o declaración pública,1. https://youtu.be/_UrVP2Tg1K8?si=zF_GqcdBCjiY_Pxe,1. min 5 y 12
Empresas_sin_beneficios_tributarios,Muy en desacuerdo,Derecha,-2,"1. propone un modelo de ""50/50"" para la ejecución de obras públicas, especialmente en infraestructura básica como agua y desagüe",Entrevista o declaración pública,1. https://www.youtube.com/live/TPQDcE-MYc8?si=8h8oC4UhRYm5SL41,1. min 36
Recursos_naturales_estado,En desacuerdo,Derecha,-1,"1. Opinion contraria a nacionalizar el gas de Camisea
2. propone que el Estado compre el mineral exigiendo un certificado de origen y destino emitido por empresas internacionales",Entrevista o declaración pública,"1.https://x.com/rlopezaliaga1/status/1453010804958244864?s=20
2. https://www.youtube.com/live/g-4Nlp0YY5k?si=nYl2hwyc5skyilPa",2. min 59
Pensiones_estado,Muy en desacuerdo,Derecha,-2,"1. Hace enfasis que debe existir mayor competencia en este sector, dando mayor libertad para manejar los fondos por cada persona. ""Libertad de Retiro"" y Cuentas Previsionales",Entrevista o declaración pública,1. https://www.youtube.com/live/YHwHWJNVETQ?si=CJQgr_vQTMwjQSSL,1. min 20
Sectores_estrategicos_privados,De acuerdo,Derecha,-1,"1. Propone un modelo similar al de Chile para formalizar la minería, donde el Estado garantiza la compra de oro a precio internacional, parecido al cobre, mas no la intervencion del estado como empresa, sino como entidad",Entrevista o declaración pública,1. https://www.youtube.com/live/aSe6XiNxOZs?si=ZANSqoDDCgIEqAj7,1. Min 21
Priorizar_mineria_sobre_ambiente,De acuerdo,Derecha,-1,"1. Propone intervenir con el ejército para recuperar la zona y recuperar la ecología de los ríos y bosques afectados 
- En general opina que la mineria ilegal es lo que afecta el ambiente y deberia intentar eliminarse y que la minería formal entre en su lugar. volviendo a la idea de la pregunta de arriba para generar un modelo como el de chile para supervisar esta actividad",Entrevista o declaración pública,1. https://youtu.be/C__hkW7SJcI?si=sQnM9TCmj8GvU0SP,1. min 12
Servicios_basicos_privados,De acuerdo,Derecha,-1,"1. critica severamente a Sedapal, afirmando que el agua distribuida presenta un color verde y no es apta para el consumo humano
2. reestructuración sedapal",Entrevista o declaración pública,"1. https://youtu.be/cy5uMNH8_pE?si=74y178vZvp3Tv5XC
2. https://x.com/GLORIAMari22066/status/1888311791450472582?s=20",1. min 2
Estado_rol_principal_economia,Muy en desacuerdo,Derecha,-2,"""Tengo que ahorrar plata, si no no consigo hacer nada. Entonces yo digo, hay que gerenciar, ¿no es cierto?""
",Entrevista o declaración pública,https://www.youtube.com/watch?v=9ovSItRP30U,1:16:00
Posición Derecha-Izquierda,,,"-1,1",,,,
